Name,City,State,Zip,Type Detailed*,Current Guaranteed Minimum,Average Daily Population,Current as of**
Total,,,,,"27,488","40,424",03/17/2025
ADAMS COUNTY DET CENTER,NATCHEZ,MS,39120,DIGSA,"1,100","2,154",03/17/2025
ADELANTO ICE PROCESSING CENTER,ADELANTO,CA,92301,CDF,640,66,03/17/2025
ALAMANCE COUNTY DETENTION FACILITY,GRAHAM,NC,27253,IGSA,40,20,03/17/2025
ALEXANDRIA STAGING FACILITY,ALEXANDRIA,LA,71303,STAGING,,313,03/17/2025
ALLEGANY COUNTY JAIL,BELMONT,NY,14813,IGSA,,1,03/17/2025
ALLEN PARISH PUBLIC SAFETY COMPLEX,OBERLIN,LA,70655,IGSA,170,176,03/17/2025
ATLANTA US PEN,ATLANTA,GA,30315,BOP,,27,03/17/2025
BAKER COUNTY SHERIFF DEPT.,MACCLENNY,FL,32063,IGSA,192,242,03/17/2025
BERLIN FED. CORR. INST.,BERLIN,NH,3570,BOP,,4,03/17/2025
BLUEBONNET DETENTION FACILITY,ANSON,TX,79501,DIGSA,750,822,03/17/2025
BOONE COUNTY JAIL,BURLINGTON,KY,41005,USMS IGA,,141,03/17/2025
BROWARD COUNTY JAIL,FT.LAUDERDALE,FL,33301,IGSA,,2,03/17/2025
BROWARD TRANSITIONAL CENTER,POMPANO BEACH,FL,33073,CDF,700,658,03/17/2025
BUFFALO SERVICE PROCESSING CENTER,BATAVIA,NY,14020,SPC,400,567,03/17/2025
BUTLER COUNTY JAIL,HAMILTON,OH,45011,USMS IGA,,3,03/17/2025
CALHOUN COUNTY CORRECTIONAL CENTER,BATTLE CREEK,MI,49014,IGSA,75,139,03/17/2025
CAROLINE DETENTION FACILITY,BOWLING GREEN,VA,22427,DIGSA,224,284,03/17/2025
"CCA, FLORENCE CORRECTIONAL CENTER",FLORENCE,AZ,85132,USMS IGA,,378,03/17/2025
CENTRAL LOUISIANA ICE PROCESSING CENTER (CLIPC),JENA,LA,71342,DIGSA,"1,170","1,184",03/17/2025
CHASE COUNTY JAIL,COTTONWOOD FALL,KS,66845,IGSA,,89,03/17/2025
CHIPPEWA COUNTY SSM,SAULT STE MARIE,MI,49783,IGSA,,26,03/17/2025
CIBOLA COUNTY CORRECTIONAL CENTER,MILAN,NM,87021,IGSA,,171,03/17/2025
CIMMARRON CORR FACILITY,CUSHING,OK,74023,USMS IGA,,21,03/17/2025
CLAY COUNTY JUSTICE CENTER,BRAZIL,IN,47834,USMS IGA,,238,03/17/2025
CLINTON COUNTY CORRECTIONAL FACILITY,MCELHATTAN,PA,17748,USMS IGA,,79,03/17/2025
CLINTON COUNTY JAIL,PLATTSBURGH,NY,12901,USMS IGA,,5,03/17/2025
COASTAL BEND DETENTION FACILITY,ROBSTOWN,TX,78380,USMS IGA,,4,03/17/2025
COLLIER COUNTY NAPLES JAIL CENTER,NAPLES,FL,34112,IGSA,,13,03/17/2025
CUMBERLAND COUNTY JAIL,PORTLAND,ME,4102,USMS IGA,,45,03/17/2025
DAKOTA COUNTY JAIL,DAKOTA CITY,NE,68731,USMS IGA,,8,03/17/2025
DALLAS COUNTY JAIL - LEW STERRETT JUSTICE CENTER,DALLAS,TX,75202,USMS IGA,,7,03/17/2025
DENVER CONTRACT DETENTION FACILITY,AURORA,CO,80010,CDF,600,"1,146",03/17/2025
DEPARTMENT OF CORRECTIONS HAGATNA,HAGATNA,GU,96910,USMS IGA,,5,03/17/2025
DESERT VIEW ANNEX,ADELANTO,CA,92301,CDF,480,407,03/17/2025
DODGE COUNTY JAIL,JUNEAU,WI,53039,USMS IGA,,111,03/17/2025
EAST HIDALGO DETENTION CENTER,LA VILLA,TX,78562,USMS IGA,,3,03/17/2025
EDEN DETENTION CTR,EDEN,TX,76837,USMS IGA,,110,03/17/2025
EL PASO SERVICE PROCESSING CENTER,EL PASO,TX,79925,SPC,450,723,03/17/2025
EL PASO SOFT SIDED FACILI,EL PASO,TX,79934,STAGING,,3,03/17/2025
EL VALLE DETENTION FACILITY,RAYMONDVILLE,TX,78580,DIGSA,600,858,03/17/2025
ELIZABETH CONTRACT DETENTION FACILITY,ELIZABETH,NJ,7201,CDF,285,279,03/17/2025
ELOY FEDERAL CONTRACT FACILITY,ELOY,AZ,85131,DIGSA,900,"1,328",03/17/2025
ERIE COUNTY JAIL,ERIE,PA,16503,USMS IGA,,3,03/17/2025
ETOWAH COUNTY JAIL (ALABAMA),GADSDEN,AL,35901,USMS IGA,,4,03/17/2025
FAYETTE COUNTY DETENTION CENTER,LEXINGTON,KY,40510,USMS IGA,,1,03/17/2025
FDC PHILADELPHIA,PHILADELPHIA,PA,19106,BOP,,19,03/17/2025
FLORENCE SERVICE PROCESSING CENTER,FLORENCE,AZ,85132,SPC,392,378,03/17/2025
FLORENCE STAGING FACILITY,FLORENCE,AZ,85232,STAGING,,178,03/17/2025
FOLKSTON ANNEX IPC,FOLKSTON,GA,31537,DIGSA,338,267,03/17/2025
FOLKSTON MAIN IPC,FOLKSTON,GA,31537,DIGSA,544,613,03/17/2025
FREEBORN COUNTY ADULT DETENTION CENTER,ALBERT LEA,MN,56007,IGSA,,76,03/17/2025
GEAUGA COUNTY JAIL,CHARDON,OH,44024,USMS IGA,,48,03/17/2025
