AGENCY,RECIPIENT,AWARD DESCRIPTION,PAYMENT DATE,PAYMENT
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,California Dept of Public Health,State - Other Health Organization,3/6/2025,"$489,314"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,California Dept of Public Health,State - Other Health Organization,3/6/2025,"$9,418"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,California Dept of Public Health,State - Other Health Organization,3/6/2025,"$47,632"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,California Dept of Public Health,State - Other Health Organization,3/6/2025,"$4,514"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,California Dept of Public Health,State - Other Health Organization,3/6/2025,"$1,490"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,California Dept of Public Health,State - Other Health Organization,3/6/2025,$169
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,California Dept of Public Health,State - Other Health Organization,3/6/2025,"$48,763"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,California Dept of Public Health,State - Other Health Organization,3/6/2025,"$12,341"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,California Dept of Public Health,State - Other Health Organization,3/6/2025,$483
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,California Dept of Public Health,State - Other Health Organization,3/6/2025,"$387,484"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,HEALTH & HUMAN SVC COMMN TX,State - Social Services Department,3/6/2025,"$288,959"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DANA-FARBER CANCER INSTITUTE,"Private Non-Profit - Hospital, Clinic, Health Ctr, Instit, Mental Health Ctr",3/6/2025,"$69,678"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"VI DEPARTMENT OF HEALTH, OFFICE OF FEDERAL GRANTS MGT",State - Health Department,3/6/2025,"$6,300"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Trustees Of Columbia University In The City Of New York,"Private Non-Profit - University, College, Jr. College",3/6/2025,$941
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Trustees Of Columbia University In The City Of New York,"Private Non-Profit - University, College, Jr. College",3/6/2025,"$145,716"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Trustees Of Columbia University In The City Of New York,"Private Non-Profit - University, College, Jr. College",3/6/2025,"$28,365"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Trustees Of Columbia University In The City Of New York,"Private Non-Profit - University, College, Jr. College",3/6/2025,$449
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Trustees Of Columbia University In The City Of New York,"Private Non-Profit - University, College, Jr. College",3/6/2025,"$3,765"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Trustees Of Columbia University In The City Of New York,"Private Non-Profit - University, College, Jr. College",3/6/2025,"$2,245"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Trustees Of Columbia University In The City Of New York,"Private Non-Profit - University, College, Jr. College",3/6/2025,"$1,796"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Trustees Of Columbia University In The City Of New York,"Private Non-Profit - University, College, Jr. College",3/6/2025,"$95,233"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Trustees Of Columbia University In The City Of New York,"Private Non-Profit - University, College, Jr. College",3/6/2025,"$37,509"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Trustees Of Columbia University In The City Of New York,"Private Non-Profit - University, College, Jr. College",3/6/2025,"$80,051"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Trustees Of Columbia University In The City Of New York,"Private Non-Profit - University, College, Jr. College",3/6/2025,"$2,710"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Trustees Of Columbia University In The City Of New York,"Private Non-Profit - University, College, Jr. College",3/6/2025,"$3,295"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Trustees Of Columbia University In The City Of New York,"Private Non-Profit - University, College, Jr. College",3/6/2025,"$1,796"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/6/2025,"$14,457"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/6/2025,"$70,000"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/6/2025,"$48,542"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/6/2025,"$102,100"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/6/2025,"$93,341"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/6/2025,"$156,100"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/6/2025,$316
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/6/2025,$800
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/6/2025,"$10,323"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/6/2025,"$24,400"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/6/2025,"$1,487"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/6/2025,"$3,700"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/6/2025,"$4,387"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/6/2025,"$11,600"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/6/2025,"$1,343"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/6/2025,"$3,200"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/6/2025,"$7,300"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/6/2025,"$19,401"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/6/2025,"$49,500"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/6/2025,"$4,045"
